submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,-2.0953467,-0.33487386,-0.26865843,0.61218846,0.71892726,1.2449754,0.39272282,-1.7910163,0.07411045,0.67081976,0.28838512,0.46650797,0.051813863,-0.98715913,0.94703853,0.57610685,-0.91805756,0.011828848,0.013698667,1.1143099,-0.41350305,0.21345723,-0.038177565,0.31175935,0.61110944,0.6341482,-1.344444,1.2386158,-0.35952765,0.07392289,-0.1173283,0.24918693,0
TCGA-3C-AALI-01,0.52222645,0.77601683,-1.3742603,0.97717094,0.7848425,0.1754187,1.6640018,0.2029702,0.32631478,-0.23023006,-0.7711221,0.62015015,-0.340855,0.08489587,0.30911493,-0.275249,1.1699344,-0.3469383,-0.17467138,0.48647198,-1.1218868,1.3020487,-1.1041348,-2.1424177,0.3379994,0.25682116,1.5644047,0.6316334,0.4491977,0.23950088,0.39967257,-0.047893863,0
TCGA-3C-AALJ-01,0.77787626,-0.5538783,-0.9184605,-0.5315289,0.15633672,-0.52431387,0.8858807,0.27217534,-1.9815125,-1.7947979,0.7859007,1.2078329,-0.26136217,1.6554494,0.025970582,1.4890826,-0.51327497,1.4149,0.40719053,0.10146766,2.4396145,0.16635573,1.4037293,-0.46791548,-1.3352537,-2.585288,1.3986912,1.2554402,-0.411182,1.4206197,0.3678677,0.1835129,1
TCGA-3C-AALK-01,-0.99885476,-0.98499143,0.4827221,0.93036294,-1.042782,-0.29858783,0.37699673,1.0236537,-1.0180202,0.04967337,-0.83573806,-0.46636495,-0.6742826,1.5967059,1.053407,1.5356681,-1.2412808,-0.10990588,-0.011826081,-0.8068243,0.672715,-1.3535188,0.9878787,1.425064,-0.7482351,1.0301563,0.99059665,0.07767173,-1.3160679,-0.11780326,0.4589551,0.67350996,1
TCGA-4H-AAAK-01,-1.471169,-0.85886383,0.70039207,-0.3192198,0.40404052,-1.4008933,-0.7539605,-2.0047746,0.4866991,-0.81120455,-1.8274539,-2.4726086,0.4027489,-0.105096266,1.335607,-0.71622866,0.821104,1.0653113,-0.77139795,-0.5719873,2.5792658,0.9400027,-0.040896565,-0.91796875,-0.45276755,0.18754065,1.6014812,-0.7723658,-0.39364314,0.37409806,-1.5206461,2.0511885,1
TCGA-5L-AAT0-01,1.4985863,0.20409632,-1.3211491,0.7075908,-0.6492064,0.7039711,1.4058348,0.5811997,0.41164133,-1.3059262,0.6162131,0.18871179,-0.3037987,-2.4646723,0.48044237,0.6841449,-0.30325842,-1.1643009,0.97880936,0.24702,0.3931374,0.8343235,0.8754268,0.6594368,0.65512437,0.41838092,-1.2658225,1.0559715,1.3359524,-0.49326235,-0.90310186,0.11704244,1
TCGA-5L-AAT1-01,0.021482304,-0.47907528,1.7153922,-1.6767619,0.6139946,-1.2384895,-0.18239185,-0.43068394,-0.46585688,0.051516626,-0.23690382,0.4330204,0.05307168,0.4514711,-1.0335946,-1.304888,-1.1484822,-0.08265584,1.2922217,0.13061641,1.9959046,1.28923,-0.9807803,-0.82363963,-1.5379313,-0.33820868,-1.1178877,0.15908866,0.5352639,0.045813933,-1.7218674,-0.48692003,1
TCGA-5T-A9QA-01,-0.95375645,-1.2057905,0.34389216,0.9114479,0.06752843,-0.3012262,0.27539337,0.76011246,-1.4144096,0.23708265,0.33415037,1.2141024,-1.0735679,-1.4239902,-1.6386502,-0.09839286,1.3358344,-0.19402252,0.4794921,-0.28337315,-1.8844835,-0.89619035,0.32801917,0.057714656,2.9466484,-1.1768572,0.841278,1.4566747,0.76897895,-0.0019254731,-0.92363065,0.012514483,1
TCGA-A1-A0SB-01,-0.31859988,0.7492765,-0.26181227,0.96706533,1.0006124,0.032090724,0.8255471,0.29917604,-0.9572262,1.6543405,0.43485224,-0.34656024,0.13898066,-0.05905095,0.9237992,-0.87811464,-0.7908815,0.7277834,-1.6717857,-1.6636828,0.966733,-0.099014744,-0.42304525,-2.1322877,-1.3555485,1.3723364,-0.7062884,0.9061345,-0.3911697,-2.299666,0.8928458,-1.5124713,1
TCGA-A1-A0SD-01,-0.6545829,0.43283236,-0.45958912,0.9816471,0.16449264,1.1445329,2.0942822,1.2591653,0.1737654,-0.23094314,0.3565867,1.5676197,0.7283334,-0.51072544,-2.0298402,-1.3882847,1.3031605,1.9995978,-0.38764575,0.7112699,1.1871984,-0.41759497,-0.1518845,1.6651382,1.8900847,0.38734174,-0.41189432,1.3766329,0.35260043,-0.055175565,0.465046,-0.11729224,1
