submitter_id.samples,dna_vae_1,dna_vae_2,dna_vae_3,dna_vae_4,dna_vae_5,dna_vae_6,dna_vae_7,dna_vae_8,dna_vae_9,dna_vae_10,dna_vae_11,dna_vae_12,dna_vae_13,dna_vae_14,dna_vae_15,dna_vae_16,dna_vae_17,dna_vae_18,dna_vae_19,dna_vae_20,dna_vae_21,dna_vae_22,dna_vae_23,dna_vae_24,dna_vae_25,dna_vae_26,dna_vae_27,dna_vae_28,dna_vae_29,dna_vae_30,dna_vae_31,dna_vae_32,label_dna
TCGA-3C-AAAU-01,1.3518935,2.002591,-1.1216822,-0.123000406,0.780134,-0.6272418,1.0079278,1.3114097,-0.30586055,1.0402975,-0.029640388,-0.35646325,-1.2657834,0.5925992,0.66317827,0.12941243,-2.025897,0.6892798,-0.83260095,1.8556094,0.20630093,-0.2723783,-1.3028952,-0.21088104,0.28669783,-1.1280185,0.20510352,-1.1493278,0.29074445,0.5359757,0.5194587,0.44685772,0
TCGA-3C-AALI-01,-0.26849866,-1.6323075,2.3019197,-0.3256343,0.067873366,0.19682848,0.3058018,0.9911022,-0.8889755,1.6161003,1.4022235,-1.3807958,1.4929775,-1.2001232,0.78327364,-1.4704529,0.96490973,-1.4588394,1.6789047,0.54135406,-0.4037734,-0.23575418,0.0072363215,-0.591425,0.5887492,1.2980182,-1.1193252,1.0436103,-0.73709965,0.27452663,-0.26265305,-0.7172505,0
TCGA-3C-AALJ-01,-0.5095533,0.2399837,-1.2814214,0.02227582,-0.8873317,-0.74330395,0.92041135,0.5164359,0.22835888,-0.6492634,-0.6930369,-0.6492641,-0.12854744,-1.1822776,0.54595345,0.481602,-0.91636103,0.289135,0.18332297,-0.60732186,-0.19551705,-0.81041545,1.4586692,-2.1282127,-0.17259687,1.3850489,1.797614,0.5188808,0.5609367,-1.2295835,0.41777456,-0.46022084,1
TCGA-3C-AALK-01,1.6190794,1.0261775,1.3044691,1.4229482,0.24274641,0.53368074,1.9611335,1.3880352,-0.92494184,-0.5290827,0.37543526,-0.4849313,0.69777626,0.27546722,0.04544703,-0.017742388,1.802431,-2.1845198,0.57032627,-1.2613664,-1.5320663,0.33964247,-1.2107716,-0.8652429,-0.61132455,-0.41668522,-0.8619305,0.72362703,0.46175715,1.313646,-2.0715115,0.162932,1
TCGA-4H-AAAK-01,1.5303364,-1.0688446,0.28888795,-1.2245239,1.768262,0.2952205,-2.0172436,0.43042985,-1.6028175,0.29214257,1.193556,0.30508244,0.61364156,1.7573092,0.426731,0.7501436,-2.7591212,0.12852587,0.8604761,-0.17044054,-0.57826704,-0.36991623,-0.56069994,0.35730505,0.24866313,-1.0655245,0.46397847,0.37904555,-0.3639325,1.2066547,-0.89133114,-1.2699242,1
TCGA-5L-AAT0-01,-0.92311746,-0.72722214,0.66372865,-0.91051674,0.23928553,-0.7456097,0.6176403,1.1111647,0.5670938,-0.722266,2.7768433,-0.37760422,-1.183068,2.0368977,-0.71487653,1.3144865,0.1558256,-2.277733,-0.37352,-1.2175374,-1.2885226,-0.11670804,0.2120995,-0.16171652,0.75190955,-0.22851858,-0.71541536,-1.8788846,0.8910659,-0.69247454,0.2511151,0.34081587,1
TCGA-5L-AAT1-01,1.0575835,-0.033920094,0.17000136,1.2529407,1.5263946,-1.5789145,0.8455434,0.98525923,-1.2227539,-1.2196788,0.6162001,-1.1428121,-0.055238746,1.7427508,0.7254027,-1.9045669,-1.1537642,0.75338906,0.24514876,0.092560574,-0.72642285,-0.8420492,0.04381021,0.36119592,-1.2655579,-1.0953704,1.2517344,-0.63631004,0.14077352,0.18800443,-0.10981055,-0.16321652,1
TCGA-5T-A9QA-01,0.23346142,0.31205788,-2.577236,-0.1650871,-0.24892366,0.16712469,0.1128265,0.15856008,-1.7149826,0.26771754,0.03488677,-0.43051037,-1.3071686,-0.9468572,0.8914981,0.2258867,-0.3251966,-0.87912834,0.99662477,-0.84915286,-1.0500755,0.036956847,0.2335729,0.63574505,0.42909554,-1.354167,0.82477695,1.5624129,0.5360305,0.6550725,0.5934071,-0.16333975,1
TCGA-A1-A0SB-01,1.5121481,-0.34156728,-0.69383174,1.7297404,0.21981657,0.81512225,0.12499779,0.34786958,-0.54043275,1.2573379,-0.23409617,2.1750412,-0.26661992,-0.15237127,-1.9169959,1.8030472,-0.28715762,1.7708262,0.5547555,0.75700057,-0.9403497,1.5957342,0.37158182,-0.73040825,0.14528443,0.76551795,-0.1759407,1.2556833,0.5434372,0.7528318,0.0009612364,0.76459575,1
TCGA-A1-A0SD-01,0.79592526,-1.4697589,-0.038697,-1.0565199,-0.39740205,-0.8594822,0.28893584,1.0656738,-1.2052895,-2.1090639,-0.029508414,-0.33659947,0.20088924,0.4292357,0.89802855,0.8410863,0.7845401,-2.4153695,0.82578415,1.314817,0.19867551,0.958932,0.9917977,1.5099963,2.1956518,0.33084825,-1.1583663,-0.36540788,0.5050391,2.8841453,2.6655486,-1.8188146,1
