submitter_id.samples,mir_vae_1,mir_vae_2,mir_vae_3,mir_vae_4,mir_vae_5,mir_vae_6,mir_vae_7,mir_vae_8,mir_vae_9,mir_vae_10,mir_vae_11,mir_vae_12,mir_vae_13,mir_vae_14,mir_vae_15,mir_vae_16,mir_vae_17,mir_vae_18,mir_vae_19,mir_vae_20,mir_vae_21,mir_vae_22,mir_vae_23,mir_vae_24,mir_vae_25,mir_vae_26,mir_vae_27,mir_vae_28,mir_vae_29,mir_vae_30,mir_vae_31,mir_vae_32,label_mir
TCGA-3C-AAAU-01,-0.29564092,-0.32088408,-2.252066,-1.6058602,-0.32191017,0.099211015,0.37754372,0.16795507,0.09627669,1.3379259,-2.126454,-0.15344718,-1.0914681,0.18938453,0.6181553,0.7847661,0.13697316,-1.6424366,0.7172235,1.2621913,-0.9785857,-1.4759499,-0.5797295,-0.218782,0.96926594,-1.2575312,0.64382184,-0.29544884,-0.45911863,-0.13453561,1.0058781,-0.6500834,0
TCGA-3C-AALI-01,0.5963472,-0.011977436,-0.8813055,-0.38966808,1.3684309,1.0855259,-1.6035477,-0.5828313,-1.1913358,0.8356673,0.7088392,-0.18777756,-0.9420822,1.0607203,-0.8513344,0.74505806,-0.2969506,-0.81772965,-0.22923157,-0.008461339,-0.48025915,0.23160464,-0.8899809,0.80259883,2.0635755,-0.10354096,0.12720339,1.7062564,0.13123836,0.28023523,-1.4782438,-0.34852043,0
TCGA-3C-AALJ-01,0.79298294,1.0109317,-0.92461437,-0.08370646,0.07035781,-0.5445554,1.0750048,0.10260177,0.8155053,-1.001506,0.99187285,0.9528632,-1.5385346,-0.037110202,-1.1951079,1.2341735,0.9427432,0.6654645,-0.13857953,0.8017688,0.5482615,-1.377824,-0.01142497,0.5467364,-0.9612724,0.35099638,-1.4870237,-0.20597637,0.57054424,0.68370646,0.6086976,1.3836792,1
TCGA-3C-AALK-01,0.26934522,-0.48118952,-0.5088691,-2.497128,-0.5976133,2.2166507,0.42389092,1.0456005,1.0736396,0.027834384,-0.515394,0.9891166,-0.021348838,0.5183282,1.9231662,-0.22187097,-0.5166681,0.20590629,0.5326592,1.4050899,0.6142675,0.9442253,0.75387245,-1.352008,-0.32466623,-0.44543117,0.27548996,-0.6381221,-2.697511,1.137002,0.0969377,0.6285485,1
TCGA-4H-AAAK-01,-1.7746825,0.87733364,-0.15469733,0.17259002,-0.15064614,2.0602305,-0.043275278,-1.9517758,0.3285337,1.4159234,-0.32400364,0.02771974,0.10635992,-1.4663063,-0.10122157,-1.3661221,-0.35055274,0.5884768,-0.010321667,-0.62156457,-0.23210737,0.1523918,0.04944554,0.14723307,-1.210945,-0.683281,1.4866043,-1.3620973,-0.111835845,-0.03208176,-0.526533,-1.728725,1
TCGA-5L-AAT0-01,0.33325124,1.1452533,0.502234,-0.08398895,0.6050023,-2.1839428,1.4932704,0.02882029,-0.741642,1.4937202,1.1169978,2.1333802,0.7416017,0.9633451,-0.2690261,2.1124125,0.62380034,-0.14680907,-1.5251356,-0.21030277,0.16217795,-0.4439097,-0.13898173,1.4906241,-0.010082296,1.3221754,0.24928662,2.9260132,0.9934586,-1.5694338,-0.18846668,-1.0172411,1
TCGA-5L-AAT1-01,-0.04938862,-1.2437426,-0.7728182,-0.38875568,0.6834073,1.0448935,0.9308204,-1.1195977,0.10699364,-0.8673139,-0.13622393,-2.5164242,0.69227415,-0.8577083,0.8092882,0.43388885,0.29147592,0.5863386,-1.2541418,0.590735,0.07585016,-0.32309937,-0.8028376,-1.1783553,-2.4622009,1.7292907,0.47034374,-0.5129852,1.1993601,0.86632496,0.2963267,0.73704594,1
TCGA-5T-A9QA-01,0.63218784,-0.6575969,0.24642007,-0.27359617,-2.158168,0.30736524,0.34574673,0.87603056,0.5988212,-1.123709,-0.90633446,-0.9259397,0.44801873,-0.35265008,-0.93334043,-0.8999068,-0.5900916,0.67977154,-3.2381294,-1.3088166,-0.8660665,-0.022638628,-0.29883736,0.1359744,2.0842512,0.1153647,-0.25200814,0.17415735,1.5816638,1.323796,-0.8277151,0.7247943,1
TCGA-A1-A0SB-01,0.03420715,-0.44334728,0.9048271,0.23120755,-0.39186895,0.21129246,-1.8693521,0.14006457,-0.6160582,-0.98106456,-0.81619954,1.3259959,-0.46070945,1.5151472,-0.2982372,-0.10845108,-0.26474386,-0.19169077,-0.9937487,-0.5710268,0.2529657,0.5173535,-0.6187503,1.5116963,1.4579805,-0.90903497,-0.1870057,0.43569127,-1.8432709,-0.31846917,-0.9865493,2.185118,1
TCGA-A1-A0SD-01,0.59635687,-1.0764859,0.28890014,0.8793879,2.0597186,1.4936296,-0.123228855,2.427238,0.074553385,0.49505824,0.008776161,1.5241652,1.5340456,-0.85645753,0.8891902,0.2018805,2.1637397,1.8002006,-0.3498033,-0.7711522,-0.282391,0.19200651,0.09896839,-0.638084,1.1462873,-0.8120826,-0.48717394,-0.35093188,2.73399,0.83324915,1.3006631,-0.086123265,1
TCGA-A1-A0SE-01,2.1020856,0.23750784,-0.27387485,-0.31022158,3.0413415,-0.26139006,-1.2414482,-0.40478927,-2.319661,-0.52042377,1.3948954,-0.68953425,0.54639935,0.04459808,-0.88824046,1.0053229,-0.15994133,1.568524,-0.26153636,1.2124705,0.2066276,-0.006505317,-0.91499966,-1.4227791,-0.39723957,-1.1620048,0.6344277,2.2719226,1.8347157,2.6912436,-1.1666538,-0.6147555,1
TCGA-A1-A0SF-01,-0.67759246,-0.5265622,-0.26185963,0.8077835,-2.4726946,-1.106605,-2.417574,-0.2664269,0.1158865,-0.50097615,-0.7636709,-0.3948468,-0.48342118,0.7930985,-0.35062456,-0.3539419,-0.24292998,0.13832818,-0.8562653,-0.38799536,1.5625172,2.4460354,1.8013796,-0.7075542,-0.58036405,1.1011753,-0.9822286,1.1371924,-0.48214653,-1.9820664,1.505428,0.78931934,1
TCGA-A1-A0SG-01,1.0367883,-0.28452542,-1.4120847,-1.2135177,0.79015917,-0.65323275,-0.5183198,-0.6476863,-1.3752148,-0.5897916,0.05994387,-0.015146078,1.7415695,-0.84340185,-0.30899185,-0.122643925,-1.8380046,1.6884073,-0.24454045,-0.40087846,-0.42350906,-0.17719576,-1.0308675,-1.1377841,-1.8998494,0.715134,-0.39862084,-0.8480519,-0.81303304,-0.04359236,-1.3240706,0.46480152,1
TCGA-A1-A0SH-01,-0.061545882,-0.036169864,-2.730469,-1.1387204,-0.13080665,0.10525266,0.11011056,-0.030560657,-0.37031996,0.3525078,-0.16076453,0.09455773,-1.0601298,0.80057395,0.22688872,0.7744539,0.46251175,-1.9153829,-0.3494045,-0.52608347,-0.03349829,-0.3727134,1.047513,1.8820546,-0.075104296,-0.83157426,1.2625529,0.78146964,0.029754128,-1.2580326,-1.8090341,1.3827107,1
TCGA-A1-A0SI-01,-0.1890487,1.6483414,-1.7486284,1.9995723,0.3572395,-0.6694297,0.42936438,0.05784937,1.4232955,-0.024480252,0.16493365,-0.19476835,-0.23643455,1.6632104,0.48946062,2.0128036,1.2085968,-0.80204237,0.781923,-0.8666219,0.5818423,0.88218236,-0.21371405,-0.33011684,-0.108248785,-1.9501783,-0.8153514,-1.0452976,-0.040781543,0.62433577,-0.37388363,0.77921367,1
TCGA-A1-A0SJ-01,-0.74577117,1.0348035,-0.5999128,-0.3396482,0.72808444,0.96210295,0.49825993,-0.581743,0.13209902,0.7292246,0.41938564,-0.461616,-1.8492477,0.5358251,-0.95148766,-0.15384223,-1.8702542,-0.324455,1.8464144,0.3488327,-0.20408571,1.0007702,0.3138231,0.11350695,0.46006805,-0.111705765,-0.65834963,-0.7866299,0.74846756,-0.96595234,-1.149904,-0.5391279,1
TCGA-A1-A0SK-01,-0.526653,-0.30902326,-0.18196659,0.17675343,-1.8936782,0.51646286,-0.056861103,0.6273365,0.43608922,0.82639265,-0.84749055,1.5451598,1.5403796,-1.7179878,-0.5587518,-0.4242831,-1.1296885,-0.42418385,-0.17353046,-1.4537536,-0.20010974,-2.0054438,1.9871397,-0.07564211,1.1794413,0.1781643,-0.6663899,-0.060272597,0.11817317,-0.5443512,0.77848256,-0.22192325,1
TCGA-A1-A0SM-01,-1.8191442,1.6432679,-2.648332,-0.20274875,0.18725385,0.19584052,-0.66679585,-0.9032624,-2.2138584,0.84962285,0.8330181,-0.054318547,-0.2897033,1.4656292,0.64289796,0.12733974,-0.30357397,-1.4344503,-0.60183775,0.6174998,2.5739856,0.63679576,1.4416585,0.46235043,0.31834868,1.7528383,1.0609366,0.11148673,-1.98199,-1.7536093,1.3819942,0.21315111,1
