submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-3C-AAAU-01,-0.6901885,0.84856325,-0.12828128,0.8292976,1.6879742,-0.7787866,-0.63352054,-0.30119413,1.101201,-0.13487001,-0.3072396,0.78426635,0.4148241,-0.6102107,-0.012910123,-0.7000242,1.285516,-1.0600268,0.24976188,1.5694233,0.7274216,0.15107433,-0.34625915,-0.34028548,0.36976448,0.7453294,0.028880946,0.23566432,-0.7061758,-0.6182619,-0.3902456,-1.1456933,0
TCGA-3C-AALI-01,0.1565309,0.73630935,0.8813633,-1.5969925,-2.0715208,-0.13583158,0.7226581,1.8240842,-0.58391887,1.424011,0.0639149,-1.6976103,-0.36958176,0.15217383,-0.5881766,-1.0172081,0.8472608,-0.21075708,0.40532368,-1.8391002,1.3151029,-0.118225634,-0.783818,1.9959909,1.5539021,1.13917,-2.1937265,1.259246,-0.74650973,0.94777524,-0.3693164,0.006145939,0
TCGA-3C-AALJ-01,0.5211117,-0.8309558,1.0476702,2.9484937,-0.29124135,-0.068265095,-1.024782,-0.65545756,-1.2740841,-0.63413477,-0.20141648,-2.0026066,-0.315461,0.35941976,0.07181916,0.81573075,0.25258827,1.1851964,0.031669848,-0.8456008,0.9363878,-2.3109612,0.48446947,0.12987545,1.6414682,-1.2898816,0.4941123,-0.02459063,0.010611764,1.9263455,0.954195,2.646807,1
TCGA-3C-AALK-01,1.490309,1.1081128,1.7079817,-1.0875463,0.45348904,-0.7250275,-0.24507983,-1.3404937,-0.16822723,1.4152346,-0.3621499,-1.8631766,-1.9995294,1.4116585,-0.8955042,-0.09708148,1.0873432,-1.5730261,0.75241125,-0.9492978,-1.2749636,1.6265352,-1.6538796,0.4553069,0.20661405,-0.36456993,-1.3014956,-0.6030211,-0.25995436,-0.95900625,-2.727821,-0.7130922,1
TCGA-4H-AAAK-01,0.01481417,-1.5160984,0.3734859,1.7506669,0.19068936,1.524634,-1.4541498,-0.13485114,-0.036954135,-1.3690664,-0.39968234,0.478884,1.2824876,-1.1492755,-0.85408854,-0.26495492,-0.010821485,0.45778185,-2.0173912,-1.3007238,-0.3897319,0.9321599,-1.3163344,-1.4071481,0.67433465,0.4023878,-0.6763717,1.7765096,-0.9349515,-1.3434876,-1.5459905,0.69275916,1
TCGA-5L-AAT0-01,0.030340014,-1.8815039,-0.33841857,-0.55753887,0.0012847777,0.3860369,-0.9754113,-0.4997774,0.056557145,0.17860346,-0.8023922,0.36076048,-0.9622364,-1.1337285,0.48445886,0.7201571,-0.43841198,0.6682958,1.2224158,-0.18160985,1.6866313,0.8695347,2.8372712,-1.5228099,-0.65342957,0.6842132,-0.73799366,1.0187573,-2.0594962,0.22664022,-1.065996,0.000982932,1
TCGA-5L-AAT1-01,0.66878504,0.9394137,-0.320651,0.62821406,0.7862598,-0.9123989,-0.38110575,1.0950155,1.0968801,-0.19125351,1.2394755,-1.1989732,-1.2589447,1.1546335,-1.376733,-0.43671733,0.9019062,-0.932674,-0.23387563,0.8190877,-1.4342477,0.076757275,0.6426752,-0.32321987,1.339704,0.17099948,-0.35386002,-0.16082111,-1.6066018,0.6667239,-0.36776254,1.7982302,1
TCGA-5T-A9QA-01,0.9292854,-0.24270812,0.71798867,1.4875408,0.11876732,-0.5092436,-0.61948436,0.16501257,-1.0985553,1.0060424,-0.1521801,0.07692757,-0.038063277,-0.5441508,0.31786355,0.7490146,0.465421,-0.75549155,0.8854391,-0.025508638,-0.7581107,0.9236773,-0.28477865,-1.0790653,-0.5975642,-0.5429662,0.6035,1.0411602,-0.94866645,-0.21256998,0.20300537,-0.5172578,1
TCGA-A1-A0SB-01,-0.45916548,-0.34904924,0.22041942,-0.3101619,0.842343,2.2802234,0.5671665,-0.32320523,-0.428375,-0.014940787,-1.365383,-0.041891202,0.5427031,-0.46125025,-0.9414674,1.0488989,-1.214564,0.2829688,-1.0602674,0.52056026,2.6017313,-1.132709,-0.6905232,0.7543197,0.34228387,-1.0795912,-0.032304276,1.798182,-0.17112233,0.46918166,-1.1976987,0.89716166,1
TCGA-A1-A0SD-01,0.41236427,0.19771987,-0.55880284,-0.59837925,0.8640717,-0.04065742,0.48112217,-0.50707906,1.55195,-1.5678709,-0.0011478195,1.0525799,0.73110825,-0.78525287,-0.05723092,0.4335684,0.74988323,1.3655521,0.20690309,0.12533386,0.29608157,-0.657235,-1.7057462,-1.324834,-0.8125932,0.10971376,-0.04793697,-0.02657194,0.76020557,-0.3505828,-1.0173862,-0.13222145,1
