submitter_id.samples,wsi_vae_1,wsi_vae_2,wsi_vae_3,wsi_vae_4,wsi_vae_5,wsi_vae_6,wsi_vae_7,wsi_vae_8,wsi_vae_9,wsi_vae_10,wsi_vae_11,wsi_vae_12,wsi_vae_13,wsi_vae_14,wsi_vae_15,wsi_vae_16,wsi_vae_17,wsi_vae_18,wsi_vae_19,wsi_vae_20,wsi_vae_21,wsi_vae_22,wsi_vae_23,wsi_vae_24,wsi_vae_25,wsi_vae_26,wsi_vae_27,wsi_vae_28,wsi_vae_29,wsi_vae_30,wsi_vae_31,wsi_vae_32,label_wsi
TCGA-3C-AAAU-01,0.20393805,-0.42537037,-1.8988007,-1.2201053,-1.9289441,-0.56971115,-0.5498915,-0.6431026,-0.96069807,-0.25718227,-1.8855015,-0.24326006,0.77102417,-0.99992394,0.066680215,-0.12416918,-0.47115454,-0.6240481,-0.6018642,0.53730834,-0.0569923,1.8436669,0.086451635,1.716951,0.35694358,0.67095506,-0.001057008,-0.5434974,0.86233735,-0.36184394,0.12429327,-0.9877112,0
TCGA-3C-AALI-01,0.61707467,0.41976482,-0.2129107,0.2489014,-0.037150595,-1.9863299,-1.0581574,-0.79116905,0.7838734,0.48218957,-0.11436839,-0.49138674,0.40981558,-0.925612,-0.89788216,0.63924986,-0.257096,-2.8681035,-0.50547713,0.09924578,1.012496,0.10325316,1.5848006,-2.0227501,-1.1237689,-0.35271662,-0.04497916,0.40949744,-0.8787549,-1.3336183,-1.5580331,0.7484994,0
TCGA-3C-AALJ-01,0.32939023,0.24219652,-0.9373975,0.5123341,-0.3012167,-0.7063773,-0.5637798,-0.7467394,0.7812512,0.5079797,1.4713459,-1.071033,-2.3960605,0.27718288,0.7004485,-0.05340225,-0.24845223,-0.11541091,0.5017159,-1.6889437,0.7993339,-0.38277104,1.7441463,-3.0284019,0.0030141436,2.0300643,-0.5135046,-0.897357,-1.3252263,0.70626205,0.22417775,-0.21785745,1
TCGA-3C-AALK-01,1.0269542,-0.514459,0.6890732,-0.14576143,0.2744656,0.36561227,-0.095380664,1.207179,1.7608882,-1.1280195,-0.13625182,1.9729682,-1.1021615,-1.209322,-0.0044144,0.13046364,0.07256479,0.15594022,0.8011948,-1.136283,-1.3449013,0.5707196,-0.837562,0.3633314,-0.90936345,-1.7113987,-0.89558476,1.216897,-0.15852499,-1.0641739,-1.2678596,0.056972474,1
TCGA-4H-AAAK-01,-1.052849,-1.4783313,0.23317905,0.759869,1.3343773,1.45669,1.0324123,-0.6547464,0.018337458,-0.47304487,-0.84430844,-0.8200441,0.34237593,0.7747891,-1.166983,-0.5817621,0.3594945,-0.041856572,-0.47701767,-0.26975805,0.5985455,-2.0259776,-0.6200105,1.6601573,0.14175475,0.63263005,-1.44023,0.11165765,-2.0716515,1.2136424,0.8828645,0.12175114,1
TCGA-5L-AAT0-01,-0.28429085,0.8882129,-0.72276735,1.477543,-1.3470984,-0.6681045,1.548433,-1.1136675,0.123818636,1.3441832,1.3209802,0.7711525,0.5520411,-0.935416,-1.8782611,-1.7965013,1.742498,-0.80698436,-1.3553185,-0.6429163,1.4413193,-0.41122082,-0.9417071,-0.116912484,-0.21312451,-0.7447771,0.2683962,0.0017231451,1.3024776,-1.2068195,-1.5948197,-0.33471322,1
TCGA-5L-AAT1-01,1.2112622,1.4111714,-0.09711921,-1.0404638,-1.8719043,-1.4066375,-0.10988994,-1.852728,-0.7678459,0.49782717,-1.2656077,-0.8251661,-0.022249132,0.23186947,-1.7718301,0.8736217,0.7635758,1.9986935,1.6422992,-1.0412812,-2.2181284,0.9411903,-0.9599407,-2.5824647,-0.0042108744,-0.4569283,-0.033278175,-0.3327752,-0.55297285,0.70914066,0.18393625,-0.33544242,1
TCGA-5T-A9QA-01,-0.19760995,0.103360265,-0.96815735,-0.87550163,1.4967583,0.37567332,0.9009505,-0.7880992,0.38308445,0.37606442,0.12877768,-0.21651796,-1.0123022,-0.7637961,0.6040463,-1.5282694,0.44070002,-1.5629077,0.7909691,0.6514317,-1.2933452,-0.751104,0.70345294,-0.41657493,0.28015822,-0.13117719,1.3015417,-0.34562796,-0.12508462,-0.53887415,-0.36977303,0.1036899,1
TCGA-A1-A0SB-01,-0.060469083,0.59733444,-1.9903141,0.4109471,-1.527704,-1.4453748,0.08625991,-1.8567674,1.4823627,0.760364,0.009062186,-1.311241,0.06204524,0.24884902,0.45620242,0.87256414,0.42649794,-0.15327835,0.9641817,0.41044047,-0.97739744,-0.35976753,-0.37798905,-1.0052345,-1.093432,-1.3966022,0.68492323,0.85337824,-0.038449883,0.49814793,0.68930554,-0.46397752,1
TCGA-A1-A0SD-01,-1.0663139,0.44389465,1.4176091,-1.8939395,1.3370124,-1.395735,0.8360392,-0.8064947,2.4795861,-0.687901,0.968277,-0.8036788,-0.057419926,0.6482032,1.4503467,-0.023835756,-0.66197824,-1.4330977,0.16184914,-0.17949148,0.4700758,-0.51094836,-2.0428913,-1.4016542,1.5512018,-0.40896517,-0.9036195,0.83586305,0.13520838,-1.026077,-0.6693478,1.0466374,1
TCGA-A1-A0SE-01,-0.9793506,-0.25257877,0.5830813,0.17872,-1.4513983,1.0319946,-1.0463047,-1.2935723,1.2456255,-0.8768609,-1.4820844,0.78018486,-0.18246415,-0.3983605,-2.3201253,0.9988314,0.23077427,-0.17067632,0.17366295,-0.98982024,0.5401465,0.2130944,0.15981561,-1.1080037,1.4957347,0.40382302,-0.27197596,-0.38484344,0.5858866,0.48586828,0.12426271,-2.5972714,1
TCGA-A1-A0SF-01,-2.2268527,1.2698812,-0.11255114,-0.42990002,-0.08156096,0.02493233,-2.962238,1.6307684,-1.5587112,-0.30046627,0.6795679,0.5277196,0.10205839,-0.511851,0.10669374,1.2646807,0.08042295,-1.2967002,-2.089569,0.7298257,0.32100853,-2.352952,1.3421882,1.4092579,0.31165782,1.6071644,0.7710446,-0.5449121,1.3041545,1.979867,-1.130488,-0.25667092,1
TCGA-A1-A0SG-01,1.2001734,-1.204613,0.4944717,-1.2915524,0.40462247,1.67745,-0.061283633,-1.3471767,-1.7889553,0.9769647,0.2985954,0.7372083,1.2917095,-0.4570608,-0.9022974,-0.37327108,-0.46670446,-0.08449493,-0.9398254,0.6957561,-1.0072829,0.65977323,-0.2349237,1.4581515,-0.4944112,-0.56185883,2.1875465,-2.103445,-0.11169182,-0.8480071,0.26374975,-2.1122448,1
TCGA-A1-A0SH-01,-1.1230209,-0.579271,-0.53519624,-1.6072879,1.0002457,-1.1950334,0.30502105,-0.5414452,0.4514941,0.7444063,0.82529205,0.05907572,-0.95799553,0.62209994,0.6768782,1.4473665,-2.317815,1.1398151,-0.4248606,-1.1150175,1.0019337,-1.9146043,0.24811591,-0.946533,-1.2455524,-1.602591,-0.30233163,1.0244734,-1.2298776,-0.9520107,1.8187295,-0.6527828,1
TCGA-A1-A0SI-01,-0.1927648,0.15314429,0.75045675,-0.779957,1.1080189,1.5746897,1.6249133,1.4509352,2.6115901,-0.6429218,-0.4937868,-0.66946495,1.2219198,-0.0016249847,2.002658,0.63912183,2.501414,-1.838599,-0.7962562,-0.44812438,-0.21465413,-0.41887304,2.0416963,0.2850699,0.8164674,-0.23469368,0.78633934,0.78269696,-1.4856266,-0.49925798,-1.3671572,-0.22948289,1
TCGA-A1-A0SJ-01,-0.9412385,-1.228842,-0.61202604,-1.766307,-1.697632,0.05355943,-1.1819211,-0.63842255,-0.93500054,0.502561,-2.1002953,0.8927254,-0.4165201,1.052763,0.47128224,-0.8688098,1.5328699,-0.60919666,-0.19307294,-0.018901099,0.19144632,0.7912094,-1.5782241,-2.0418422,0.047368944,-0.3095376,-0.4669758,0.99524915,1.1095054,0.29705018,-1.4259913,-1.2937012,1
TCGA-A1-A0SK-01,0.9068577,-0.42309797,1.0228198,1.5548584,-0.6809408,1.0587125,-0.34387094,-1.1889894,-0.011812183,-0.52588356,1.4628152,0.018758647,0.21618932,0.73855215,-0.41255203,1.756383,-0.41383368,-1.5653731,0.19207695,0.3137179,-2.0807366,-1.5248461,0.25938356,0.6712105,1.442776,0.65438306,-1.0369722,-0.39145014,-1.023042,-0.30285054,-0.22320569,0.32160613,1
TCGA-A1-A0SN-01,-0.6152425,0.13498975,1.6667248,0.7317853,0.53253204,0.9548476,0.0065587163,1.4094368,-0.098191,-0.17546736,1.1729418,-0.614015,-0.57310814,0.4030067,-0.65867174,-0.34713936,-2.3762445,1.4435604,0.60200065,-0.45903048,-0.35026565,-0.049410462,1.7088907,0.15919158,-0.23255765,2.0238624,-0.8144596,-0.6928571,-0.69438964,1.4574814,-1.579607,0.2480645,1
TCGA-A1-A0SO-01,0.3698501,-2.2240472,-0.2643237,0.49724555,-0.95930547,0.26991343,-0.080092974,-2.0212586,0.25688943,-1.3160906,-2.022533,-0.1220657,0.9377229,0.04756826,-0.5993793,1.2389181,0.956236,-0.38110018,-0.59568506,-0.09496651,0.22886725,0.22374178,-1.1107553,1.8209833,-1.5028127,0.12731236,1.1543399,0.29228586,1.1441315,0.97617775,0.034714814,-0.91276246,1
TCGA-A1-A0SP-01,1.0123031,-0.08571555,0.8711651,0.05607038,0.37841538,1.0526588,2.4699955,0.77980936,-1.2181851,2.0313559,0.75839204,-0.17932543,-0.6024889,1.1255292,1.1400832,-0.8996984,-0.58750296,0.2330532,0.589002,0.5259972,-2.1568098,0.10128142,-1.3984749,-1.0276614,-0.47527,-0.4531952,0.18250729,0.7769921,2.8115819,0.18819751,1.591967,0.59687847,1
TCGA-A1-A0SQ-01,1.0956155,-0.19183442,-1.4017208,0.8763674,0.76211655,1.2931012,-0.28915232,0.08261445,0.37459746,0.3967358,1.5213429,-0.81288844,0.3247062,0.9793599,-0.7215211,-0.09384234,0.10840904,0.39888024,-0.1382602,-0.53161526,-0.19865456,2.1403444,0.16868937,0.546666,-1.3430952,-1.0405062,-0.47370544,-0.47812575,0.81090045,-0.22412397,1.0804682,-0.20108503,1
TCGA-A2-A04N-01,-0.28477618,0.568939,-1.2462921,0.9312737,0.5177253,0.010363606,-0.7017429,0.54430956,0.91220546,-0.21025185,0.06823089,-0.04501741,-1.079154,0.42128602,-0.07432957,-1.8121811,0.48306575,0.34250703,0.49146965,-1.3841324,1.0005684,-0.31740487,1.8168582,1.2777572,0.57388407,0.8126622,-1.0861787,-2.7824035,0.5902155,-0.9475167,1.045924,-1.0071279,0
TCGA-A2-A04P-01,1.8861526,2.0632277,1.0235956,0.716741,-1.0832175,1.6858934,1.8298999,0.32065403,1.6071237,1.0272616,-0.25672656,1.454078,0.6040139,-0.19009022,-0.22771384,0.23258173,1.0066962,-0.6024843,-0.23473485,1.2400415,0.6728599,2.4365902,-0.8797948,0.13046704,-0.36059827,-1.0416907,-0.6417691,1.5127318,-0.5884397,-0.22012694,-0.5539708,0.5557483,1
TCGA-A2-A04Q-01,0.04813138,-0.04285967,0.15138625,-0.60508895,2.5189664,0.6781329,1.8809412,-1.1893469,0.021851927,-1.6595352,0.24693318,1.3341364,0.38390625,1.1944728,-0.27903384,0.3078041,-0.57507294,-0.5201931,0.32284293,-0.15715326,-0.5880222,1.0717052,-1.8212241,-0.7022614,0.50309855,0.85563016,0.31481484,-0.081058845,-2.004813,0.48156428,1.6140108,-0.17767453,0
TCGA-A2-A04R-01,0.73152983,-1.7558625,0.82212174,-0.44317362,0.030162808,-0.12899235,-0.9679566,0.4416014,-0.5853354,-0.07945523,-0.66129255,1.2539347,-0.26567137,0.61172795,1.1119007,-0.06927269,-1.2721217,0.021926638,-0.22443235,0.6428431,-0.82670945,1.8697709,-1.6134919,1.1143754,2.320876,-0.89307946,1.5417116,-0.31581846,0.08999639,0.093241714,-1.1870706,1.242711,0
TCGA-A2-A04T-01,-0.5084766,0.75077415,-1.0565411,-0.032328434,-0.13223892,0.40921062,-0.7674367,0.81659853,0.37148467,-0.47026697,-1.1366025,0.27319604,-0.30299938,-0.38307917,1.3083361,0.75052005,-0.87470496,0.74001527,-1.8868878,-0.07095093,-0.8596343,2.141422,0.24718495,-1.1451396,-0.432019,-0.078709304,0.037422746,-1.7641386,-0.3660511,-0.9556797,0.26103133,-0.31819594,0
TCGA-A2-A04V-01,-0.1079104,-1.7739675,-0.9909935,-0.5602695,-0.14853108,-0.3076597,0.020637576,-0.36744478,-0.16494106,0.6389802,-0.4491039,-0.9856658,1.3727244,0.44941762,0.49968076,-0.24272913,0.29795587,1.3542713,0.8459376,0.86347306,1.1148715,1.1394845,-1.7049882,0.11396849,0.8650631,-0.032254472,-0.48140967,-0.23601073,1.0922095,0.033746086,1.3035474,0.529632,0
TCGA-A2-A04W-01,0.7390935,-0.8585259,1.4451407,-0.46428895,-1.809443,0.6766497,2.3595612,0.2620045,1.3322504,0.78773206,-2.3873339,-0.202847,-2.110822,0.8784746,0.42159104,-0.27797714,0.33305466,0.49053884,0.9919513,-0.24386679,-0.4971377,1.0694877,0.37985966,-1.901321,0.9931938,-0.35826737,0.7555734,0.12273942,-0.6576636,0.49741808,0.8933936,-0.8596001,0
